Course Code,Exam Type,Date(s),Room Info
BED-2032,Assignment,Innlevering: 20. mai 2025 kl. 14:00,N/A
BED-2032NETT,Assignment,Innlevering: 20. mai 2025 kl. 14:00,N/A
BED-2034NETT,Hjemmeeksamen,"Utlevering: 2. desember 2024 kl. 09:00
Innlevering: 2. desember 2024 kl. 13:00",N/A
BED-2035,Off campus exam,"Utlevering: 26. mai 2025 kl. 13:00
Innlevering: 28. mai 2025 kl. 13:00",N/A
BED-2043NETT,Oppgave,Innlevering: 30. mai 2025 kl. 14:00,N/A
BED-2046,Oppgave,Innlevering: 28. mai 2025 kl. 14:00,N/A
BED-2046,Skriftlig skoleeksamen,Dato: 11. juni 2025 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(HARSTAD): Havnegata 5-7 – Undervisningsrom 1"
BED-2048NETT,Hjemmeeksamen,"Utlevering: 26. november 2024 kl. 09:00
Innlevering: 26. november 2024 kl. 13:00",N/A
BED-2049,Oppgave,Innlevering: 16. mai 2025 kl. 14:00,N/A
BED-2052,Skriftlig skoleeksamen,Dato: 4. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-2052NETT,Oppgave,Innlevering: 16. desember 2024 kl. 14:00,N/A
BED-2053,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
BED-2057,Hjemmeeksamen,"Utlevering: 27. november 2024 kl. 09:00
Innlevering: 29. november 2024 kl. 13:00",N/A
BED-2058,Muntlig eksamen,Fra 2. desember  til 3. desember 2024,N/A
BED-2061NETT,Hjemmeeksamen,"Utlevering: 4. juni 2025 kl. 09:00
Innlevering: 4. juni 2025 kl. 13:00",N/A
BED-2063,Off campus exam,"Utlevering: 3. desember 2024 kl. 09:00
Innlevering: 10. desember 2024 kl. 14:00",N/A
BED-2108,Hjemmeeksamen,"Utlevering: 3. desember 2024 kl. 09:00
Innlevering: 6. desember 2024 kl. 13:00",N/A
BED-2109,Muntlig eksamen,Fra 2. desember  til 4. desember 2024,N/A
BED-2112,Skriftlig skoleeksamen,Dato: 21. november 2024 kl. 09:00,"(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
(NARVIK): E-Fløyen – E2430, Seminarrom
(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)"
BED-2113,Skriftlig skoleeksamen,Dato: 26. mai 2025 kl. 09:00,(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
BED-2123,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,"(HARSTAD): Havnegata 5-7 – Undervisningsrom 7
(HARSTAD): Havnegata 5-7 – Undervisningsrom 8"
BED-2125,Hjemmeeksamen,"Utlevering: 5. desember 2024 kl. 09:00
Innlevering: 5. desember 2024 kl. 12:00",N/A
BED-2135,Mappevurdering,Innlevering: 27. november 2024 kl. 14:00,N/A
BED-2139,Mappevurdering,Innlevering: 30. mai 2025 kl. 14:00,N/A
BED-2144,Off campus exam,"Utlevering: 19. mai 2025 kl. 09:00
Innlevering: 23. mai 2025 kl. 14:00",N/A
BED-2149,Hjemmeeksamen,"Utlevering: 9. desember 2024 kl. 12:00
Innlevering: 16. desember 2024 kl. 12:00",N/A
BED-2151NETT,Hjemmeeksamen,"Utlevering: 15. mai 2025 kl. 09:00
Innlevering: 15. mai 2025 kl. 15:00",N/A
BED-2205,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BED-2207,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BED-2208,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
BED-2209,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BED-2210,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BED-3003,Hjemmeeksamen,"Utlevering: 2. desember 2024 kl. 13:00
Innlevering: 4. desember 2024 kl. 13:00",N/A
BED-3003,Oppgave,Innlevering: 16. desember 2024 kl. 14:00,N/A
BED-3007H,Skriftlig skoleeksamen,Dato: 11. desember 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – Undervisningsrom 8
BED-3011H,Skriftlig skoleeksamen,Dato: 21. november 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(HARSTAD): Havnegata 5-7 – Undervisningsrom 8
(HARSTAD): Havnegata 5-7 – Undervisningsrom 9
(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(NARVIK): E-Fløyen – E2463, Undervisningsrom"
BED-3013H,Oppgave,Innlevering: 16. desember 2024 kl. 14:00,N/A
BED-3043,Hjemmeeksamen,"Utlevering: 18. november 2024 kl. 09:00
Innlevering: 22. november 2024 kl. 14:00",N/A
BED-3043,Skriftlig skoleeksamen,Dato: 4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-3044H,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)
(HARSTAD): Havnegata 5-7 – Undervisningsrom 7
(HARSTAD): Havnegata 5-7 – Undervisningsrom 8
(NARVIK): E-Fløyen – E2430, Seminarrom
(KIRKENES): UiT i Kirkenes – 1.05 Store klasserom"
BED-3054H,Skriftlig skoleeksamen,Dato: 27. mai 2025 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
Studiesenteret Midt-Troms – Rom 258 Finnsnes
(NARVIK): E-Fløyen – E2463, Undervisningsrom"
BED-3058H,Hjemmeeksamen,"Utlevering: 2. desember 2024 kl. 09:00
Innlevering: 5. desember 2024 kl. 09:00",N/A
BED-3059,Oppgave,Innlevering: 25. april 2025 kl. 14:00,N/A
BED-3059,Skriftlig skoleeksamen,Dato: 12. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BED-3065,Oppgave,Innlevering: 14. mars 2025 kl. 14:00,N/A
BED-3065,Oppgave,Innlevering: 9. desember 2024 kl. 14:00,N/A
BED-3065,Oppgave,Innlevering: 16. mai 2025 kl. 14:00,N/A
BED-3067,Skriftlig skoleeksamen,Dato: 26. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
BED-3070,Oppgave,Innlevering: 6. desember 2024 kl. 14:00,N/A
BED-3071,Hjemmeeksamen,"Utlevering: 15. november 2024 kl. 09:00
Innlevering: 29. november 2024 kl. 14:00",N/A
BED-3073,Oppgave,Innlevering: 16. desember 2024 kl. 14:00,N/A
BED-3074,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BED-3074,iKomp,Dato: 12. desember 2024 kl. 09:00,N/A
BED-3077,Assignment,Innlevering: 2. desember 2024 kl. 14:00,N/A
BED-3083,Oppgave,Innlevering: 4. juni 2025 kl. 14:00,N/A
BED-3085,Hjemmeeksamen,"Utlevering: 13. november 2024 kl. 14:00
Innlevering: 27. november 2024 kl. 14:00",N/A
BED-3086,Hjemmeeksamen,"Utlevering: 19. mai 2025 kl. 09:00
Innlevering: 11. juni 2025 kl. 14:00",N/A
BED-3087,Muntlig eksamen,Fra 27. november  til 28. november 2024,N/A
BED-3088,Hjemmeeksamen,"Utlevering: 24. april 2025 kl. 09:00
Innlevering: 16. mai 2025 kl. 14:00",N/A
BED-3089,Hjemmeeksamen,"Utlevering: 10. april 2025 kl. 09:00
Innlevering: 9. mai 2025 kl. 14:00",N/A
BED-3090,Hjemmeeksamen,"Utlevering: 27. november 2024 kl. 09:00
Innlevering: 27. november 2024 kl. 14:00",N/A
BED-3091,Hjemmeeksamen,"Utlevering: 7. mai 2025 kl. 09:00
Innlevering: 7. mai 2025 kl. 14:00",N/A
BED-3093,Hjemmeeksamen,"Utlevering: 4. desember 2024 kl. 09:00
Innlevering: 4. desember 2024 kl. 14:00",N/A
BED-3100,Hjemmeeksamen,"Utlevering: 4. juni 2025 kl. 09:00
Innlevering: 4. juni 2025 kl. 15:00",N/A
BED-3107,Oppgave,Innlevering: 2. desember 2024 kl. 14:00,N/A
BED-3108,Hjemmeeksamen,"Utlevering: 14. mars 2025 kl. 09:00
Innlevering: 28. mars 2025 kl. 14:00",N/A
BED-3108,Hjemmeeksamen,"Utlevering: 9. mai 2025 kl. 09:00
Innlevering: 23. mai 2025 kl. 14:00",N/A
BED-3111,Assignment,Innlevering: 13. desember 2024 kl. 14:00,N/A
BED-3113,Oppgave,Innlevering: 19. mai 2025 kl. 14:00,N/A
BED-3114,Muntlig eksamen,Dato: 8. april 2025 kl. 08:30,N/A
BED-3114,Oppgave,Innlevering: 11. april 2025 kl. 14:00,N/A
BED-3114,Oppgave,Innlevering: 23. mai 2025 kl. 14:00,N/A
