Course Code,Exam Type,Date(s),Room Info
HIS-3023,Hjemmeeksamen,"Utlevering: 21. november 2024 kl. 09:00
Innlevering: 28. november 2024 kl. 14:00",N/A
HIS-3900,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
HIS-3980,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
IND-3012,Off campus exam,Innlevering: 13. desember 2024 kl. 14:00,N/A
IND-3025,Off campus exam,"Utlevering: 13. november 2024 kl. 09:00
Innlevering: 20. november 2024 kl. 14:00",N/A
IND-3026,Assignment,Innlevering: 7. april 2025 kl. 14:00,N/A
IND-3902,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
IND-3904,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
KVE-1008,Hjemmeeksamen,"Utlevering: 2. desember 2024 kl. 09:00
Innlevering: 9. desember 2024 kl. 14:00",N/A
KVE-1008,Muntlig eksamen,Dato: 22. november 2024 kl. 09:00,N/A
KVE-2021,Hjemmeeksamen,"Utlevering: 5. mai 2025 kl. 09:00
Innlevering: 6. mai 2025 kl. 13:00",N/A
KVE-2110,Oppgave,Innlevering: 12. mai 2025 kl. 14:00,N/A
KVE-2950,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
KVE-3900,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
KVF-3010,Hjemmeeksamen,"Utlevering: 4. desember 2024 kl. 09:00
Innlevering: 11. desember 2024 kl. 14:00",N/A
KVF-3017,Hjemmeeksamen,"Utlevering: 22. mai 2025 kl. 09:00
Innlevering: 30. mai 2025 kl. 14:00",N/A
KVF-3110,Hjemmeeksamen,"Utlevering: 25. november 2024 kl. 09:00
Innlevering: 2. desember 2024 kl. 14:00",N/A
KVF-3111,Hjemmeeksamen,"Utlevering: 5. mai 2025 kl. 09:00
Innlevering: 12. mai 2025 kl. 14:00",N/A
KVI-0100,Oppgave,Innlevering: 22. november 2024 kl. 14:00,N/A
KVI-1010,Mappevurdering,Innlevering: 15. mai 2025 kl. 14:00,N/A
KVI-1014,Hjemmeeksamen,"Utlevering: 6. juni 2025 kl. 09:00
Innlevering: 6. juni 2025 kl. 15:00",N/A
KVI-1015,Hjemmeeksamen,"Utlevering: 22. mai 2025 kl. 09:00
Innlevering: 30. mai 2025 kl. 14:00",N/A
KVI-1113,Muntlig eksamen,Dato: 12. desember 2024 kl. 09:00,N/A
KVI-1115,Hjemmeeksamen,"Utlevering: 18. november 2024 kl. 09:00
Innlevering: 27. november 2024 kl. 14:00",N/A
KVI-2018,Hjemmeeksamen,"Utlevering: 21. mai 2025 kl. 09:00
Innlevering: 28. mai 2025 kl. 14:00",N/A
KVI-2050,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
KVI-3123,Mappevurdering,Innlevering: 22. november 2024 kl. 14:00,N/A
KVI-3220,Hjemmeeksamen,"Utlevering: 6. mai 2025 kl. 09:00
Innlevering: 16. mai 2025 kl. 14:00",N/A
KVI-3900,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
LER-1001,Oppgave,Innlevering: 16. mai 2025 kl. 14:00,Digital undervisning – Digital undervisning
LER-1003,Oppgave,Innlevering: 9. mai 2025 kl. 14:00,N/A
LER-1010,Muntlig eksamen,Fra 3. desember  til 5. desember 2024,N/A
LER-1011,Oppgave,Innlevering: 19. mai 2025 kl. 14:00,N/A
LER-1012,Muntlig eksamen,Fra 3. desember  til 5. desember 2024,N/A
LER-1013,Oppgave,Innlevering: 19. mai 2025 kl. 14:00,N/A
LER-1021,Oppgave,Innlevering: 9. mai 2025 kl. 14:00,Digital undervisning – Digital undervisning
LER-1051,Oppgave,Innlevering: 14. mai 2025 kl. 14:00,N/A
LER-1052,Oppgave,Innlevering: 14. mars 2025 kl. 16:00,Digital undervisning – Digital undervisning
LER-1061,Oppgave,Innlevering: 24. februar 2025 kl. 14:00,N/A
LER-1062,Oppgave,Innlevering: 24. februar 2025 kl. 14:00,N/A
LER-1071,Oppgave,Innlevering: 12. mai 2025 kl. 14:00,Digital undervisning – Digital undervisning
LER-1101,Hjemmeeksamen,"Utlevering: 19. mai 2025 kl. 09:00
Innlevering: 23. mai 2025 kl. 14:00",N/A
LER-1102,Hjemmeeksamen,"Utlevering: 19. mai 2025 kl. 09:00
Innlevering: 23. mai 2025 kl. 14:00",N/A
LER-1103,Hjemmeeksamen,"Utlevering: 11. desember 2024 kl. 09:00
Innlevering: 13. desember 2024 kl. 13:00",N/A
LER-1104,Skriftlig skoleeksamen,Dato: 4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
LER-1110,Hjemmeeksamen,"Utlevering: 11. desember 2024 kl. 09:00
Innlevering: 12. desember 2024 kl. 14:00",N/A
LER-1111,Hjemmeeksamen,"Utlevering: 30. mai 2025 kl. 09:00
Innlevering: 4. juni 2025 kl. 14:00",N/A
LER-1112,Hjemmeeksamen,"Utlevering: 9. mai 2025 kl. 09:00
Innlevering: 14. mai 2025 kl. 14:00",N/A
LER-1121,Hjemmeeksamen,"Utlevering: 23. mai 2025 kl. 09:00
Innlevering: 28. mai 2025 kl. 14:00",Digital undervisning – Digital undervisning
LER-1153,Skriftlig skoleeksamen,Dato: 9. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
LER-1154,Skriftlig skoleeksamen,Dato: 13. mai 2025 kl. 09:00,"(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)"
LER-1201,Skriftlig skoleeksamen,Dato: 5. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
LER-1201,Skriftlig skoleeksamen - nasjonal,Dato: 27. november 2024 kl. 09:00,N/A
LER-1201,Skriftlig skoleeksamen - nasjonal,Dato: 27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
LER-1202,Skriftlig skoleeksamen,Dato: 11. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
LER-1202,Skriftlig skoleeksamen - nasjonal,Dato: 27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
LER-1202,Skriftlig skoleeksamen - nasjonal,Dato: 21. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
LER-1204,Muntlig eksamen,Dato: 4. desember 2024 kl. 09:00,N/A
LER-1211,Skriftlig skoleeksamen - nasjonal,Dato: 27. november 2024 kl. 09:00,N/A
LER-1211,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)"
LER-1211,Skriftlig skoleeksamen - nasjonal,Dato: 27. november 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)"
LER-1212,Skriftlig skoleeksamen - nasjonal,Dato: 27. november 2024 kl. 09:00,N/A
LER-1212,Skriftlig skoleeksamen,Dato: 9. desember 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)"
LER-1221,Skriftlig skoleeksamen - nasjonal,Dato: 27. november 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
LER-1221,Skriftlig skoleeksamen - nasjonal,Dato: 21. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
LER-1251,Hjemmeeksamen,"Utlevering: 5. mai 2025 kl. 09:00
Innlevering: 12. mai 2025 kl. 14:00",Digital undervisning – Digital undervisning
LER-1252,Hjemmeeksamen,"Utlevering: 12. mai 2025 kl. 09:00
Innlevering: 19. mai 2025 kl. 14:00",N/A
LER-1253,Hjemmeeksamen,"Utlevering: 5. mai 2025 kl. 09:00
Innlevering: 12. mai 2025 kl. 14:00",N/A
LER-1254,Hjemmeeksamen,"Utlevering: 6. desember 2024 kl. 09:00
Innlevering: 13. desember 2024 kl. 14:00",N/A
LER-1260,Hjemmeeksamen,"Utlevering: 26. mai 2025 kl. 09:00
Innlevering: 3. juni 2025 kl. 14:00",N/A
LER-1261,Hjemmeeksamen,"Utlevering: 9. desember 2024 kl. 09:00
Innlevering: 16. desember 2024 kl. 14:00",N/A
LER-1262,Hjemmeeksamen,"Utlevering: 9. desember 2024 kl. 09:00
Innlevering: 16. desember 2024 kl. 14:00",N/A
LER-1271,Hjemmeeksamen,"Utlevering: 12. mai 2025 kl. 09:00
Innlevering: 19. mai 2025 kl. 14:00",Digital undervisning – Digital undervisning
LER-1273,Hjemmeeksamen,"Utlevering: 6. desember 2024 kl. 09:00
Innlevering: 13. desember 2024 kl. 14:00",N/A
