Course Code,Exam Type,Date(s),Room Info
DTE-2501,Portfolio,Innlevering: 16. desember 2024 kl. 14:00,N/A
DTE-2502,Portfolio,Innlevering: 4. desember 2024 kl. 14:00,N/A
DTE-2503,Portfolio,Innlevering: 18. desember 2024 kl. 14:00,N/A
DTE-2504,Mappevurdering,Innlevering: 6. juni 2025 kl. 14:00,N/A
DTE-2505,Mappevurdering,Innlevering: 9. desember 2024 kl. 14:00,N/A
DTE-2507,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,"(BODØ): Posthusgården – ALR 105
(BODØ): Posthusgården – Undervisningsrom 138
(HAMMERFEST): Campus Hammerfest – 223 Klasserom Snefjord (Hammerfest)
Studiesenteret Midt-Troms – Rom 258 Finnsnes
(ALTA): Campus Alta Byggetrinn 3 – Rom A102, Kultursalen (Alta)
(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E2430, Seminarrom
(NARVIK): E-Fløyen – E2463, Undervisningsrom
(NARVIK): E-Fløyen – E2550 Klasserom
(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
(KIRKENES): UiT i Kirkenes – 1.05 Store klasserom
(KIRKENES): UiT i Kirkenes – 1.08 Lille klasserom
Universitetet i Agder – Universitetet i Agder"
DTE-2507,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 13:00,"(BODØ): Posthusgården – ALR 105
(BODØ): Posthusgården – Undervisningsrom 138
(HAMMERFEST): Campus Hammerfest – 223 Klasserom Snefjord (Hammerfest)
(ALTA): Campus Alta Byggetrinn 3 – Rom A102, Kultursalen (Alta)
(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E2430, Seminarrom
(NARVIK): E-Fløyen – E2463, Undervisningsrom
(NARVIK): E-Fløyen – E2550 Klasserom
(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
(KIRKENES): UiT i Kirkenes – 1.08 Lille klasserom
Universitetet i Agder – Universitetet i Agder"
DTE-2509,Skriftlig skoleeksamen,Dato: 13. mai 2025 kl. 09:00,"(BODØ): Posthusgården – Undervisningsrom 138
(NARVIK): E-Fløyen – E2430, Seminarrom
(NARVIK): E-Fløyen – E2463, Undervisningsrom
(NARVIK): E-Fløyen – E2470, Seminarrom
(NARVIK): E-Fløyen – E2471, Seminarrom"
DTE-2510,Skriftlig skoleeksamen,Dato: 26. november 2024 kl. 09:00,"(BODØ): Posthusgården – ALR 105
(BODØ): Posthusgården – Undervisningsrom 138
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)
(NARVIK): E-Fløyen – E2463, Undervisningsrom
(NARVIK): E-Fløyen – E2470, Seminarrom
(NARVIK): E-Fløyen – E2471, Seminarrom
(NARVIK): E-Fløyen – E2550 Klasserom
Universitetet i Agder – Universitetet i Agder"
DTE-2511,Skriftlig skoleeksamen,Dato: 21. mai 2025 kl. 09:00,"(NARVIK): E-Fløyen – E2430, Seminarrom
(NARVIK): E-Fløyen – E2463, Undervisningsrom
(NARVIK): E-Fløyen – E2470, Seminarrom
(NARVIK): E-Fløyen – E2471, Seminarrom"
DTE-2602,Mappevurdering,Innlevering: 16. desember 2024 kl. 14:00,N/A
DTE-2603,Skriftlig skoleeksamen,Dato: 12. mai 2025 kl. 09:00,"(NARVIK): E-Fløyen – E1460, Seminarrom
(NARVIK): E-Fløyen – E1480, Aktivt læringsrom
(NARVIK): E-Fløyen – E1540, Seminarrom"
DTE-2604,Mappevurdering,Innlevering: 6. juni 2025 kl. 14:00,N/A
DTE-2781,Oppgave,Innlevering: 20. mai 2025 kl. 14:00,N/A
DTE-2800,Skriftlig skoleeksamen,Dato: 21. november 2024 kl. 09:00,"(BODØ): Posthusgården – ALR 105
(BODØ): Posthusgården – Undervisningsrom 138
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(NARVIK): E-Fløyen – E2463, Undervisningsrom
(NARVIK): E-Fløyen – E2471, Seminarrom"
DTE-2802,Mappevurdering,Innlevering: 18. desember 2024 kl. 14:00,N/A
DTE-2803,Mappevurdering,Innlevering: 18. desember 2024 kl. 14:00,N/A
DTE-2804,Mappevurdering,Innlevering: 4. desember 2024 kl. 14:00,N/A
DTE-3601,Off campus exam,"Utlevering: 11. desember 2024 kl. 09:00
Innlevering: 11. desember 2024 kl. 14:00",N/A
DTE-3605,Oral exam,Dato: 6. desember 2024 kl. 08:00,N/A
DTE-3612,Oral exam,Dato: 9. desember 2024 kl. 08:15,N/A
DTE-3801,Portfolio,Innlevering: 9. desember 2024 kl. 14:00,N/A
DTE-3900,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
ELE-2501,Skriftlig skoleeksamen,Dato: 3. desember 2024 kl. 09:00,"(BODØ): Posthusgården – Undervisningsrom 138
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E1480, Aktivt læringsrom"
ELE-2502,Mappevurdering,Innlevering: 11. desember 2024 kl. 14:00,N/A
ELE-2503,Mappevurdering,Innlevering: 10. desember 2024 kl. 14:00,N/A
ELE-2600,Mappevurdering,Innlevering: 6. juni 2025 kl. 13:00,N/A
ELE-2601,Mappevurdering,Innlevering: 23. mai 2025 kl. 13:00,N/A
ELE-2602,Mappevurdering,Innlevering: 26. november 2024 kl. 14:00,N/A
ELE-2603,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E2470, Seminarrom"
ELE-2604,Skriftlig skoleeksamen,Dato: 22. november 2024 kl. 09:00,"(NARVIK): C-Blokken – C4220, Datarom"
ELE-2780,Oppgave,Innlevering: 20. mai 2025 kl. 14:00,N/A
ELE-2801,Oppgave,Innlevering: 9. desember 2024 kl. 14:00,N/A
ELE-2801,Skriftlig skoleeksamen,Dato: 9. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E2471, Seminarrom"
ELE-3600,School exam,Dato: 2. juni 2025 kl. 09:00,"(NARVIK): E-Fløyen – E2470, Seminarrom"
ELE-3601,School exam,Dato: 9. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E2463, Undervisningsrom"
ELE-3602,School exam,Dato: 13. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E2463, Undervisningsrom"
ELE-3604,Oral exam,Dato: 18. desember 2024 kl. 08:00,N/A
ELE-3604,Assignment,Innlevering: 11. desember 2024 kl. 14:00,N/A
ELE-3605,Practical exam,Dato: 16. desember 2024 kl. 08:00,N/A
ELE-3605,Assignment,Innlevering: 11. desember 2024 kl. 14:00,N/A
ELE-3606,Oral exam,Fra 17. desember  til 18. desember 2024,N/A
ELE-3607,School exam,Dato: 3. mars 2025 kl. 09:00,"(NARVIK): E-Fløyen – E2430, Seminarrom"
ELE-3609,School exam,Dato: 26. mai 2025 kl. 09:00,"(NARVIK): E-Fløyen – E1460, Seminarrom"
ELE-3611,School exam,Dato: 10. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E1480, Aktivt læringsrom
(NARVIK): E-Fløyen – E1580, Undervisningsrom"
ELE-3612,School exam,Dato: 5. mars 2025 kl. 09:00,"(NARVIK): E-Fløyen – E2470, Seminarrom"
ELE-3613,School exam,Dato: 16. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E1540, Seminarrom
(NARVIK): E-Fløyen – E1580, Undervisningsrom"
ELE-3900,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
END-3600,Assignment,Innlevering: 26. mai 2025 kl. 14:00,N/A
END-3602,Off campus exam,Innlevering: 6. desember 2024 kl. 14:00,N/A
END-3602,Oral exam,Dato: 12. desember 2024 kl. 08:00,N/A
END-3605,Off campus exam,"Utlevering: 11. desember 2024 kl. 09:00
Innlevering: 11. desember 2024 kl. 12:00",N/A
END-3606,Off campus exam,"Utlevering: 3. juni 2025 kl. 09:00
Innlevering: 3. juni 2025 kl. 13:00",N/A
END-3607,Off campus exam,"Utlevering: 6. mars 2025 kl. 09:00
Innlevering: 6. mars 2025 kl. 15:00",N/A
END-3608,Assignment,Innlevering: 3. mars 2025 kl. 14:00,N/A
END-3800,Portfolio,Innlevering: 13. desember 2024 kl. 14:00,N/A
END-3900,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
END-3970,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
ETE-2501,Skriftlig skoleeksamen,Dato: 6. juni 2025 kl. 09:00,"(NARVIK): E-Fløyen – E1480, Aktivt læringsrom"
ETE-2600,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E1460, Seminarrom"
ETE-2601,Skriftlig skoleeksamen,Dato: 20. november 2024 kl. 09:00,"(NARVIK): C-Blokken – C4220, Datarom"
ETE-2602,Skriftlig skoleeksamen,Dato: 26. november 2024 kl. 09:00,"(NARVIK): E-Fløyen – E1540, Seminarrom"
ETE-2603,Oppgave,Innlevering: 30. mai 2025 kl. 14:00,N/A
ETE-2606,Skriftlig skoleeksamen,Dato: 29. november 2024 kl. 09:00,(NARVIK): E-Fløyen – E2550 Klasserom
ETE-2607,Skriftlig skoleeksamen,Dato: 22. mai 2025 kl. 09:00,"(NARVIK): E-Fløyen – E2470, Seminarrom"
ETE-2608,Skriftlig skoleeksamen,Dato: 10. juni 2025 kl. 09:00,"(NARVIK): E-Fløyen – E2470, Seminarrom"
ETE-2780,Oppgave,Innlevering: 20. mai 2025 kl. 14:00,N/A
ETE-2802,Skriftlig skoleeksamen,Dato: 16. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E1480, Aktivt læringsrom"
FLY-2604,Skriftlig skoleeksamen,Dato: 22. november 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
FLY-2780,Oppgave,Innlevering: 16. mai 2025 kl. 14:00,N/A
FYS-2500,Skriftlig skoleeksamen,Dato: 21. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
INE-3600,Off campus exam,"Utlevering: 25. november 2024 kl. 09:00
Innlevering: 9. desember 2024 kl. 14:00",N/A
INE-3600,Off campus exam,"Utlevering: 16. desember 2024 kl. 09:00
Innlevering: 16. desember 2024 kl. 12:00",N/A
INE-3601,Muntlig eksamen,Fra 10. desember  til 11. desember 2024,N/A
INE-3607,Off campus exam,"Utlevering: 27. januar 2025 kl. 09:00
Innlevering: 3. februar 2025 kl. 14:00",N/A
INE-3610,Assignment,Innlevering: 7. mars 2025 kl. 14:00,N/A
INE-3611,Assignment,Innlevering: 28. mai 2025 kl. 14:00,N/A
INE-3613,Assignment,Innlevering: 13. desember 2024 kl. 14:00,N/A
INE-3613,Assignment,Innlevering: 28. mai 2025 kl. 14:00,N/A
INE-3900,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
MAS-2500,Skriftlig skoleeksamen,Dato: 3. desember 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E2470, Seminarrom
(NARVIK): E-Fløyen – E2471, Seminarrom
Universitetet i Agder – Universitetet i Agder"
MAS-2502,School exam,Dato: 25. november 2024 kl. 09:00,"(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E1580, Undervisningsrom
(NARVIK): E-Fløyen – E2463, Undervisningsrom
(NARVIK): E-Fløyen – E2471, Seminarrom
(ALTA): Campus Alta: Paviljong 1, 2, 3 og m.bygg – Rom P179, Sarikoski
(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
Universitetet i Agder – Universitetet i Agder"
MAS-2601,Hjemmeeksamen,"Utlevering: 9. desember 2024 kl. 09:00
Innlevering: 12. desember 2024 kl. 13:00",N/A
MAS-2603,School exam,Dato: 2. juni 2025 kl. 09:00,"(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E2430, Seminarrom
(NARVIK): E-Fløyen – E2463, Undervisningsrom"
MAS-2604,Mappevurdering,Innlevering: 16. mai 2025 kl. 14:00,N/A
MAS-2780,Oppgave,Innlevering: 10. januar 2025 kl. 14:00,N/A
MAS-2780,Oppgave,Innlevering: 20. mai 2025 kl. 14:00,N/A
MAS-2800,Mappevurdering,Innlevering: 5. desember 2024 kl. 14:00,N/A
MAS-2801,Assignment,Innlevering: 27. november 2024 kl. 14:00,N/A
MAS-2802,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,"(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E1460, Seminarrom
Universitetet i Agder – Universitetet i Agder"
MAS-2803,Skriftlig skoleeksamen,Dato: 3. desember 2024 kl. 09:00,"(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
(NARVIK): E-Fløyen – E1580, Undervisningsrom
(NARVIK): E-Fløyen – E2463, Undervisningsrom
Universitetet i Agder – Universitetet i Agder"
MAS-2805,Mappevurdering,Innlevering: 9. desember 2024 kl. 14:00,N/A
MAS-2807,Muntlig eksamen,Dato: 16. desember 2024 kl. 08:00,N/A
MAS-2807,Oppgave,Innlevering: 13. desember 2024 kl. 14:00,N/A
MAT-3802,School exam,Dato: 12. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E1460, Seminarrom
(NARVIK): E-Fløyen – E1480, Aktivt læringsrom"
NOR-0500,Mappevurdering,Innlevering: 13. mai 2025 kl. 14:00,N/A
PRO-2501,Hjemmeeksamen,"Utlevering: 13. desember 2024 kl. 09:00
Innlevering: 13. desember 2024 kl. 12:00",N/A
PRO-2501,Mappevurdering,Innlevering: 4. desember 2024 kl. 14:00,N/A
PRO-2604,Skriftlig skoleeksamen,Dato: 26. november 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
PRO-2606,Skriftlig skoleeksamen,Dato: 4. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
PRO-2607,Hjemmeeksamen,"Utlevering: 3. april 2025 kl. 09:00
Innlevering: 12. mai 2025 kl. 14:00",N/A
PRO-2609,Hjemmeeksamen,"Utlevering: 21. mai 2025 kl. 09:00
Innlevering: 21. mai 2025 kl. 14:00",N/A
PRO-2610,Skriftlig skoleeksamen,Dato: 29. november 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
PRO-2611,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
PRO-2612,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
PRO-2613,Skriftlig skoleeksamen,Dato: 20. mai 2025 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)
(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(NARVIK): E-Fløyen – E2430, Seminarrom"
PRO-2614,Skriftlig skoleeksamen,Dato: 22. mai 2025 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(NARVIK): E-Fløyen – E2470, Seminarrom
(NARVIK): E-Fløyen – E2471, Seminarrom"
