Course Code,Exam Type,Date(s),Room Info
GEO-3151,Off campus exam,"Utlevering: 27. november 2024 kl. 09:00
Innlevering: 13. desember 2024 kl. 12:00",N/A
GEO-3221,Assignment,Innlevering: 13. desember 2024 kl. 14:00,N/A
GEO-3221,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
GEO-3222,Assignment,Innlevering: 13. desember 2024 kl. 14:00,N/A
GEO-3222,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
GEO-3900,Assignment,Innlevering: 15. mai 2025 kl. 23:59,N/A
GEO-8137,School exam,Dato: 28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
GEO-8138,Assignment,"Utlevering: 7. mai 2025 kl. 08:00
Innlevering: 14. mai 2025 kl. 14:00",N/A
GEO-8138,School exam,Dato: 3. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
INF-1039,Mappe/sammensatt vurdering,Innlevering: 11. desember 2024 kl. 14:00,N/A
INF-1041,Mappe/sammensatt vurdering,Innlevering: 11. desember 2024 kl. 14:00,N/A
INF-1049,Skriftlig skoleeksamen,Dato: 13. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
INF-1100,Hjemmeeksamen,"Utlevering: 16. oktober 2024 kl. 09:00
Innlevering: 27. november 2024 kl. 14:00",N/A
INF-1101,Skriftlig skoleeksamen,Dato: 6. juni 2025 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
(MO I RANA): Campus Helgeland – Undervisning
(MO I RANA): Campus Helgeland – Undervisning"
INF-1400,Skriftlig skoleeksamen,Dato: 26. mai 2025 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(MO I RANA): Campus Helgeland – Undervisning
(MO I RANA): Campus Helgeland – Undervisning"
INF-1600,Skriftlig skoleeksamen,Dato: 16. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(MO I RANA): Campus Helgeland – Undervisning
(MO I RANA): Campus Helgeland – Undervisning"
INF-1800,Hjemmeeksamen,"Utlevering: 29. november 2024 kl. 09:00
Innlevering: 13. desember 2024 kl. 14:00",N/A
INF-1900,Hjemmeeksamen,"Utlevering: 7. mai 2025 kl. 09:00
Innlevering: 28. mai 2025 kl. 14:00",N/A
INF-2200,School exam,Dato: 3. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
(MO I RANA): Campus Helgeland – Undervisning
(MO I RANA): Campus Helgeland – Undervisning"
INF-2220,School exam,Dato: 10. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.203, bibliotek (Tromsø)
(MO I RANA): Campus Helgeland – Undervisning
(MO I RANA): Campus Helgeland – Undervisning"
INF-2300,School exam,Dato: 26. november 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.203, bibliotek (Tromsø)
(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
INF-2310,School exam,Dato: 2. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
INF-2700,School exam,Dato: 5. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
INF-2900,Off campus exam,Innlevering: 16. mai 2025 kl. 14:00,N/A
INF-2900,Off campus exam,Innlevering: 26. mai 2025 kl. 14:00,N/A
INF-2990,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
INF-2990,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
INF-2993,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
INF-2993,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
INF-3200,Oral exam,Fra 18. november  til 22. november 2024,N/A
INF-3201,School exam,Dato: 28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
INF-3310,School exam,Dato: 12. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
INF-3315,School exam,Dato: 11. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
INF-3701,School exam,Dato: 12. mai 2025 kl. 09:00,"(BODØ): Posthusgården – Undervisningsrom 138
(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)"
INF-3770,School exam,Dato: 10. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(BODØ): Posthusgården – ALR 105"
INF-3780,Portfolio,Innlevering: 13. juni 2025 kl. 14:00,N/A
INF-3807,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
INF-3910-8,Assignment,Innlevering: 4. juni 2025 kl. 14:00,N/A
INF-3951,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
INF-3952,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
INF-3981,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
INF-3981,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
INF-3982,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
INF-3982,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
INF-3983,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
INF-3983,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
INF-3990,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
INF-3990,Assignment,Innlevering: 17. februar 2025 kl. 14:00,N/A
INF-6010,Mappe/sammensatt vurdering,Innlevering: 22. november 2024 kl. 14:00,N/A
INF-6010,Muntlig eksamen,Dato: 9. desember 2024 kl. 08:00,N/A
INF-8310,School exam,Dato: 12. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
INF-8701,School exam,Dato: 12. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
KJE-1001,Skriftlig skoleeksamen,Dato: 9. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3"
KJE-1003,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
KJE-1004,Hjemmeeksamen,"Utlevering: 21. november 2024 kl. 09:00
Innlevering: 28. november 2024 kl. 14:00",N/A
KJE-1006,Mappevurdering,Innlevering: 30. mai 2025 kl. 14:00,N/A
KJE-2002,School exam,Dato: 6. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
KJE-2003,Portfolio,Innlevering: 16. mai 2025 kl. 14:00,N/A
KJE-2004,School exam,Dato: 4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
KJE-2006,School exam,Dato: 21. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
KJE-2010,Oppgave,Innlevering: 16. desember 2024 kl. 14:00,N/A
KJE-2010,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
KJE-2013,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
KJE-2013,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
KJE-2110,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
KJE-2110,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
KJE-2210,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
KJE-2210,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
KJE-2310,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
KJE-2310,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
KJE-3101,Oral exam,Dato: 11. desember 2024 kl. 09:00,N/A
KJE-3102,Portfolio,Innlevering: 13. juni 2025 kl. 14:00,N/A
KJE-3314,Portfolio,Innlevering: 2. desember 2024 kl. 14:00,N/A
KJE-3314,Oral exam,Dato: 9. desember 2024 kl. 09:00,N/A
KJE-3603,Assignment,Innlevering: 23. mai 2025 kl. 14:00,N/A
KJE-3900,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
KJE-3907,Oppgave,Innlevering: 15. desember 2024 kl. 23:59,N/A
KJE-3907,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
KJE-6051,Mappe/sammensatt vurdering,Innlevering: 22. november 2024 kl. 14:00,N/A
KJE-6052,Mappevurdering,Innlevering: 31. mars 2025 kl. 14:00,N/A
KJE-6053,Mappevurdering,Innlevering: 16. mai 2025 kl. 14:00,N/A
KJE-6056,Mappevurdering,Innlevering: 22. november 2024 kl. 14:00,N/A
KJE-6057,Mappevurdering,Innlevering: 9. mai 2025 kl. 14:00,N/A
KJE-6100,Oppgave,Innlevering: 15. desember 2024 kl. 14:00,N/A
KJE-6100,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
KJE-6101,Hjemmeeksamen,"Utlevering: 10. desember 2024 kl. 07:00
Innlevering: 12. desember 2024 kl. 23:59",N/A
MAT-0001,Skriftlig skoleeksamen,Dato: 4. desember 2024 kl. 09:00,"(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)"
MAT-1001,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,"(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)"
MAT-1002,Skriftlig skoleeksamen,Dato: 10. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
MAT-1003,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
MAT-1004,Skriftlig skoleeksamen,Dato: 13. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
MAT-1005,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,"(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
(MO I RANA): Campus Helgeland – Undervisning
(MO I RANA): Campus Helgeland – Undervisning"
MAT-1050,Skriftlig skoleeksamen,Dato: 9. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.203, bibliotek (Tromsø)
(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
MAT-1052,Skriftlig skoleeksamen,Dato: 11. juni 2025 kl. 09:00,"(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)"
MAT-1060,Skriftlig skoleeksamen,Dato: 31. januar 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
